epoch,encoder_mse,decoder_loss,decoder_acc,cover_score,generated_score,ssim,psnr,bpp
1,0.004,0.239,0.912,-0.027,-0.022,0.414,29.84,1.648
2,0.006,0.306,0.836,-0.036,-0.037,0.514,28.532,1.343
3,0.001,0.116,0.943,-0.056,-0.042,0.576,34.895,1.771
4,0.001,0.194,0.893,-0.059,-0.068,0.615,34.504,1.571
5,0.001,0.114,0.935,-0.052,-0.027,0.642,36.002,1.74
6,0.001,0.08,0.956,-0.07,-0.046,0.688,37.341,1.824
7,0.001,0.101,0.942,-0.078,-0.075,0.711,38.102,1.768
8,0.001,0.163,0.912,-0.025,-0.068,0.627,37.417,1.647
9,0.001,0.278,0.847,-0.076,-0.079,0.641,34.565,1.387
10,0.001,0.086,0.961,-0.036,-0.108,0.62,37.898,1.844
11,0.002,0.18,0.898,-0.034,-0.107,0.249,32.637,1.59
12,0,0.276,0.838,-0.031,-0.033,0.761,39.347,1.353
13,0,0.225,0.87,-0.023,-0.023,0.749,39.537,1.481
14,0.001,0.161,0.907,-0.035,-0.036,0.744,38.864,1.63
15,0.001,0.152,0.93,-0.047,-0.047,0.625,36.465,1.718
16,0.001,0.201,0.889,-0.027,-0.027,0.715,38.39,1.554
17,0,0.078,0.966,-0.039,-0.034,0.652,39.08,1.863
18,0.001,0.12,0.938,-0.04,-0.039,0.677,38.596,1.754
19,0.001,0.112,0.937,-0.051,-0.109,0.654,38.5,1.747
20,0.001,0.163,0.914,-0.042,-0.07,0.682,35.441,1.657
21,0.001,0.149,0.911,-0.02,-0.028,0.647,36.076,1.643
22,0.001,0.289,0.842,-0.039,-0.083,0.66,38.841,1.37
23,0.001,0.096,0.96,-0.018,-0.019,0.644,38.843,1.838
24,0.001,0.62,0.681,-0.031,-0.034,0.754,37.485,0.724
25,0.001,0.191,0.887,-0.026,-0.068,0.539,36.283,1.548
26,0.001,0.102,0.945,-0.052,-0.063,0.719,38.296,1.781
27,0.002,0.364,0.836,-0.032,-0.044,0.399,33.446,1.343
28,0,0.069,0.963,-0.07,-0.07,0.753,40.206,1.853
29,0.001,0.115,0.94,-0.045,-0.052,0.731,39.124,1.757
30,0.001,0.178,0.902,-0.038,-0.061,0.695,37.892,1.598
31,0,0.092,0.955,-0.042,-0.048,0.742,39.876,1.812
32,0.001,0.143,0.925,-0.036,-0.044,0.728,38.935,1.726
