epoch,encoder_mse,decoder_loss,decoder_acc,cover_score,generated_score,ssim,psnr,bpp
1,0.003,0.604,0.647,0.020,0.021,0.749,30.734,1.175
2,0.002,0.519,0.679,0.026,0.025,0.767,34.079,1.436
3,0.001,0.488,0.707,0.020,0.021,0.767,37.654,1.654
4,0.001,0.397,0.762,0.021,0.024,0.694,38.873,2.097
5,0.000,0.441,0.731,-0.001,0.022,0.786,40.018,1.847
6,0.001,0.531,0.665,0.019,0.019,0.771,36.040,1.323
7,0.000,0.412,0.749,-0.026,-0.004,0.799,40.927,1.994
8,0.001,0.552,0.644,0.012,0.006,0.684,36.143,1.150
9,0.001,0.394,0.759,-0.001,-0.033,0.584,36.665,2.072
10,0.001,0.394,0.759,0.010,-0.004,0.702,38.262,2.074
11,0.000,0.474,0.708,-0.022,-0.025,0.794,40.391,1.661
12,0.000,0.519,0.677,-0.003,-0.021,0.753,40.468,1.414
13,0.000,0.406,0.748,-0.006,-0.033,0.717,41.469,1.986
14,0.001,0.519,0.670,-0.009,-0.027,0.546,36.112,1.360
15,0.000,0.409,0.746,0.017,-0.028,0.653,40.039,1.968
16,0.001,0.417,0.733,0.027,-0.011,0.628,37.450,1.860
17,0.001,0.437,0.726,0.019,-0.012,0.757,38.025,1.809
18,0.000,0.374,0.759,0.020,-0.020,0.707,41.780,2.075
19,0.000,0.427,0.719,0.020,-0.055,0.494,39.953,1.754
20,0.002,0.461,0.726,0.001,-0.006,0.677,33.841,1.805
21,0.000,0.502,0.673,0.024,0.006,0.619,39.298,1.385
22,0.000,0.399,0.753,0.027,0.015,0.748,39.409,2.027
23,0.001,0.318,0.817,0.024,-0.002,0.456,38.281,2.537
24,0.001,0.340,0.800,0.022,-0.000,0.694,36.140,2.403
25,0.000,0.383,0.764,0.022,-0.016,0.729,39.779,2.115
26,0.001,0.335,0.799,0.024,-0.011,0.649,37.850,2.396
27,0.001,0.276,0.841,0.019,-0.055,0.545,38.836,2.730
28,0.002,0.462,0.736,0.033,-0.020,0.387,33.502,1.885
29,0.001,0.345,0.791,0.027,-0.003,0.540,36.196,2.329
30,0.001,0.365,0.773,0.030,-0.005,0.644,38.212,2.185
31,0.001,0.380,0.762,0.018,-0.046,0.583,38.720,2.098
32,0.001,0.225,0.850,0.003,0.035,0.695,36.644,2.802
